Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
direct_entity,0.6579,0.632,0.9564,0.7611,0.2626,0.9564,0.219,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_ontological,0.6651,0.6726,0.8031,0.7321,0.4823,0.8031,0.2854,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy,0.6643,0.6342,0.9705,0.7671,0.2588,0.9705,0.2293,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_ontological,0.6522,0.6494,0.8467,0.735,0.3948,0.8467,0.2415,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_with_synonyms,0.6562,0.6303,0.9592,0.7607,0.2551,0.9592,0.2143,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_with_synonyms,0.6635,0.6336,0.9705,0.7667,0.257,0.9705,0.2274,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
all_data_dummy,0.8598,0.8481,0.9184,0.8818,0.7821,0.9184,0.7005,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_names,0.7901,0.7632,0.9156,0.8325,0.6238,0.9156,0.5394,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_with_children,0.8101,0.7912,0.9058,0.8446,0.6834,0.9058,0.5892,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_with_parents,0.7933,0.7612,0.9283,0.8365,0.6145,0.9283,0.5428,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
with_hierarchy,0.8077,0.7787,0.9255,0.8458,0.6518,0.9255,0.5772,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
direct_entity,0.8253,0.8239,0.8819,0.8519,0.7505,0.8819,0.6323,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_ontological,0.8165,0.8404,0.8368,0.8386,0.7896,0.8368,0.6264,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy,0.8349,0.8362,0.8833,0.8591,0.7709,0.8833,0.6542,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_ontological,0.7997,0.8179,0.834,0.8259,0.7542,0.834,0.5882,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.8013,0.7897,0.8875,0.8358,0.6872,0.8875,0.5746,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_with_synonyms,0.8013,0.7847,0.8973,0.8373,0.6741,0.8973,0.5714,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.6587,0.6596,0.8284,0.7344,0.4339,0.8284,0.2623,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
sequential_hierarchy_with_synonyms,0.4984,0.5869,0.4037,0.4783,0.6238,0.4037,0.0275,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
direct_entity,0.6546,0.7482,0.5935,0.662,0.7356,0.5935,0.3291,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity_ontological,0.5537,0.7305,0.3432,0.467,0.8324,0.3432,0.1756,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy,0.6498,0.7655,0.5556,0.6438,0.7747,0.5556,0.3302,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy_ontological,0.4968,0.7345,0.1828,0.2928,0.9125,0.1828,0.0953,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
all_data_dummy,0.7398,0.8162,0.8611,0.8381,0.3041,0.8611,0.1652,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_names,0.8299,0.8232,0.9965,0.9016,0.232,0.9965,0.2285,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_with_children,0.8286,0.8207,0.9991,0.9011,0.2163,0.9991,0.2154,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_with_parents,0.8279,0.8196,1.0,0.9009,0.21,1.0,0.21,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
with_hierarchy,0.8292,0.8212,0.9991,0.9015,0.2194,0.9991,0.2186,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
direct_entity,0.8005,0.8278,0.9406,0.8806,0.2978,0.9406,0.2384,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_ontological,0.8074,0.8374,0.9354,0.8837,0.348,0.9354,0.2833,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy,0.8046,0.8271,0.9485,0.8836,0.2884,0.9485,0.2369,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_ontological,0.7862,0.8176,0.9354,0.8725,0.2508,0.9354,0.1862,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_with_synonyms,0.8436,0.8333,1.0,0.9091,0.2821,1.0,0.2821,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_with_synonyms,0.8415,0.8315,1.0,0.908,0.2727,1.0,0.2727,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
all_data_dummy,0.765,0.8307,0.8786,0.854,0.3574,0.8786,0.236,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_names,0.8292,0.8236,0.9948,0.9011,0.2351,0.9948,0.2299,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_with_children,0.8306,0.8224,0.9991,0.9022,0.2257,0.9991,0.2248,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_with_parents,0.8286,0.8211,0.9983,0.9011,0.2194,0.9983,0.2177,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
with_hierarchy,0.8361,0.8281,0.9974,0.9049,0.2571,0.9974,0.2544,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
direct_entity,0.7684,0.8486,0.8568,0.8527,0.4514,0.8568,0.3082,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_ontological,0.7746,0.8186,0.9144,0.8639,0.2727,0.9144,0.1871,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy,0.7753,0.8458,0.8716,0.8585,0.4295,0.8716,0.3011,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_ontological,0.7193,0.8254,0.8131,0.8192,0.3824,0.8131,0.1955,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_with_synonyms,0.8695,0.8636,0.9895,0.9223,0.4389,0.9895,0.4284,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_with_synonyms,0.8668,0.8588,0.993,0.921,0.4138,0.993,0.4068,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
all_data_dummy,0.7753,0.8452,0.8725,0.8586,0.4263,0.8725,0.2988,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_names,0.8279,0.8257,0.9886,0.8998,0.2508,0.9886,0.2394,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_with_children,0.8347,0.8288,0.9939,0.9039,0.2633,0.9939,0.2572,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_with_parents,0.8251,0.82,0.9948,0.899,0.2163,0.9948,0.2111,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
with_hierarchy,0.832,0.8269,0.993,0.9024,0.2539,0.993,0.2469,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
direct_entity,0.806,0.8409,0.9275,0.8821,0.3699,0.9275,0.2974,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_ontological,0.778,0.8565,0.8603,0.8584,0.4828,0.8603,0.343,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy,0.8053,0.8391,0.9293,0.8819,0.3605,0.9293,0.2898,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_ontological,0.7234,0.8321,0.8096,0.8207,0.4138,0.8096,0.2234,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_with_synonyms,0.8675,0.8589,0.9939,0.9215,0.4138,0.9939,0.4077,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_with_synonyms,0.862,0.8542,0.993,0.9184,0.3918,0.993,0.3849,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
all_data_dummy,0.86,0.9211,0.8978,0.9093,0.7241,0.8978,0.622,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_names,0.9208,0.9235,0.9799,0.9508,0.7085,0.9799,0.6884,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_with_children,0.9221,0.9278,0.9764,0.9515,0.7273,0.9764,0.7037,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_with_parents,0.9221,0.9257,0.979,0.9516,0.7179,0.979,0.6969,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
with_hierarchy,0.9221,0.9264,0.9782,0.9516,0.721,0.9782,0.6992,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
direct_entity,0.8702,0.929,0.9031,0.9159,0.7524,0.9031,0.6554,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_ontological,0.8538,0.9306,0.8786,0.9039,0.7649,0.8786,0.6435,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy,0.8682,0.9258,0.9039,0.9147,0.7398,0.9039,0.6437,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_ontological,0.8245,0.9134,0.8568,0.8842,0.7085,0.8568,0.5652,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.9187,0.9311,0.9677,0.949,0.7429,0.9677,0.7106,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_with_synonyms,0.9153,0.9294,0.9651,0.9469,0.7367,0.9651,0.7017,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.7964,0.8679,0.8725,0.8702,0.5235,0.8725,0.396,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
sequential_hierarchy_with_synonyms,0.5724,0.8712,0.5319,0.6605,0.7179,0.5319,0.2497,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
direct_entity,0.6428,0.8793,0.6297,0.7338,0.6897,0.6297,0.3193,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity_ontological,0.5157,0.8811,0.4402,0.5871,0.7868,0.4402,0.227,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy,0.5362,0.8832,0.469,0.6127,0.7774,0.469,0.2464,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy_ontological,0.3538,0.8241,0.221,0.3485,0.8307,0.221,0.0517,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
all_data_dummy,0.4522,0.4058,0.9236,0.5639,0.159,0.9236,0.0826,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_names,0.457,0.4107,0.9561,0.5745,0.1465,0.9561,0.1027,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_with_children,0.4604,0.4118,0.9511,0.5748,0.1551,0.9511,0.1062,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_with_parents,0.4479,0.4073,0.9662,0.573,0.1255,0.9662,0.0917,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
with_hierarchy,0.4599,0.4126,0.9649,0.5781,0.1458,0.9649,0.1107,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
direct_entity,0.4315,0.4009,0.9762,0.5684,0.0928,0.9762,0.0689,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_ontological,0.4291,0.3996,0.9724,0.5664,0.0912,0.9724,0.0636,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy,0.4306,0.4007,0.9787,0.5686,0.0896,0.9787,0.0683,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_ontological,0.4118,0.3932,0.9825,0.5616,0.0569,0.9825,0.0394,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_with_synonyms,0.4464,0.407,0.9712,0.5736,0.12,0.9712,0.0912,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_with_synonyms,0.4383,0.4036,0.9737,0.5707,0.1052,0.9737,0.0789,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
all_data_dummy,0.4877,0.4223,0.9123,0.5773,0.2237,0.9123,0.136,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_names,0.4834,0.4233,0.9574,0.587,0.1886,0.9574,0.146,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_with_children,0.4858,0.4245,0.9586,0.5885,0.1917,0.9586,0.1504,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_with_parents,0.4748,0.4196,0.9649,0.5849,0.1699,0.9649,0.1348,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
with_hierarchy,0.5017,0.432,0.9511,0.5941,0.2221,0.9511,0.1733,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
direct_entity,0.4753,0.417,0.9261,0.5751,0.1949,0.9261,0.1209,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
