Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
with_hierarchy,0.4807,0.4493,0.989,0.6179,0.1057,0.989,0.0947,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
direct_entity,0.5368,0.4778,0.978,0.642,0.2114,0.978,0.1893,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_ontological,0.5205,0.4691,0.9835,0.6352,0.1789,0.9835,0.1623,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy,0.531,0.4747,0.9835,0.6404,0.1972,0.9835,0.1806,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_ontological,0.4924,0.4548,0.9835,0.622,0.1301,0.9835,0.1136,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_with_synonyms,0.5287,0.4735,0.9835,0.6392,0.1931,0.9835,0.1766,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_with_synonyms,0.5275,0.4731,0.9917,0.6406,0.185,0.9917,0.1767,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
all_data_dummy,0.5591,0.4902,0.9614,0.6493,0.2622,0.9614,0.2236,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_names,0.4959,0.4562,0.9752,0.6216,0.1423,0.9752,0.1175,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_with_children,0.5193,0.4685,0.9835,0.6347,0.1768,0.9835,0.1603,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_with_parents,0.4865,0.4524,0.9945,0.6219,0.1118,0.9945,0.1063,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
with_hierarchy,0.5146,0.4663,0.9917,0.6344,0.1626,0.9917,0.1543,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
direct_entity,0.6023,0.5175,0.9394,0.6673,0.3537,0.9394,0.2931,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_ontological,0.5123,0.4647,0.978,0.63,0.1687,0.978,0.1467,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy,0.5895,0.5089,0.9477,0.6622,0.3252,0.9477,0.2729,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_ontological,0.5895,0.5093,0.9063,0.6521,0.3557,0.9063,0.262,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_with_synonyms,0.5883,0.5081,0.9477,0.6615,0.3232,0.9477,0.2708,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_with_synonyms,0.5836,0.5051,0.9614,0.6622,0.3049,0.9614,0.2663,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
all_data_dummy,0.5988,0.5149,0.9504,0.668,0.3394,0.9504,0.2898,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_names,0.5251,0.4714,0.9752,0.6355,0.1931,0.9752,0.1683,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_with_children,0.5345,0.4763,0.9697,0.6388,0.2134,0.9697,0.1831,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_with_parents,0.5064,0.4618,0.9835,0.6285,0.1545,0.9835,0.1379,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
with_hierarchy,0.5111,0.4642,0.9835,0.6307,0.1626,0.9835,0.1461,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
direct_entity,0.5509,0.4853,0.9559,0.6438,0.252,0.9559,0.208,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_ontological,0.6199,0.5349,0.8017,0.6417,0.4858,0.8017,0.2874,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy,0.5544,0.4875,0.9642,0.6475,0.252,0.9642,0.2162,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_ontological,0.5813,0.5042,0.8347,0.6286,0.3943,0.8347,0.229,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_with_synonyms,0.5497,0.4846,0.9532,0.6425,0.252,0.9532,0.2052,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_with_synonyms,0.5579,0.4896,0.9752,0.6519,0.25,0.9752,0.2252,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
all_data_dummy,0.8339,0.7663,0.876,0.8175,0.8028,0.876,0.6789,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_names,0.7404,0.6419,0.8788,0.7419,0.6382,0.8788,0.517,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_with_children,0.7649,0.6753,0.8595,0.7564,0.6951,0.8595,0.5546,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
only_with_parents,0.7392,0.6373,0.8953,0.7446,0.624,0.8953,0.5193,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
with_hierarchy,0.7626,0.666,0.8843,0.7598,0.6728,0.8843,0.5571,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-11_10-14-40
direct_entity,0.793,0.7236,0.8292,0.7728,0.7663,0.8292,0.5955,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_ontological,0.8012,0.7506,0.7961,0.7727,0.8049,0.7961,0.601,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy,0.807,0.7415,0.8375,0.7865,0.7846,0.8375,0.622,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_ontological,0.7778,0.7168,0.7879,0.7507,0.7703,0.7879,0.5582,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.7614,0.674,0.8485,0.7512,0.6972,0.8485,0.5456,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_with_synonyms,0.752,0.6617,0.8512,0.7446,0.6789,0.8512,0.5301,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.6,0.5179,0.8375,0.64,0.4248,0.8375,0.2623,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
sequential_hierarchy_with_synonyms,0.5275,0.4416,0.427,0.4342,0.6016,0.427,0.0286,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
direct_entity,0.6725,0.621,0.5868,0.6034,0.7358,0.5868,0.3225,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity_ontological,0.6211,0.598,0.3278,0.4235,0.8374,0.3278,0.1652,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy,0.676,0.6387,0.5455,0.5884,0.7724,0.5455,0.3178,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy_ontological,0.614,0.641,0.2066,0.3125,0.9146,0.2066,0.1212,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
all_data_dummy,0.5477,0.4868,0.8605,0.6218,0.3097,0.8605,0.1702,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_names,0.5905,0.5134,1.0,0.6785,0.2788,1.0,0.2788,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_with_children,0.5779,0.5059,1.0,0.6719,0.2566,1.0,0.2566,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
only_with_parents,0.5729,0.5029,1.0,0.6693,0.2478,1.0,0.2478,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
with_hierarchy,0.5804,0.5074,1.0,0.6732,0.2611,1.0,0.2611,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_14-28-38
direct_entity,0.5955,0.5176,0.9419,0.668,0.3319,0.9419,0.2737,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_ontological,0.6307,0.5424,0.9302,0.6852,0.4027,0.9302,0.3329,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy,0.593,0.5158,0.9477,0.668,0.323,0.9477,0.2707,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_ontological,0.5628,0.497,0.9477,0.652,0.2699,0.9477,0.2176,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_with_synonyms,0.6206,0.5325,1.0,0.6949,0.3319,1.0,0.3319,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_with_synonyms,0.6156,0.5292,1.0,0.6922,0.323,1.0,0.323,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
all_data_dummy,0.5905,0.5157,0.8605,0.6449,0.385,0.8605,0.2454,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_names,0.5879,0.5119,1.0,0.6772,0.2743,1.0,0.2743,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_with_children,0.5779,0.5059,1.0,0.6719,0.2566,1.0,0.2566,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
only_with_parents,0.5779,0.5059,1.0,0.6719,0.2566,1.0,0.2566,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
with_hierarchy,0.6055,0.5228,1.0,0.6866,0.3053,1.0,0.3053,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-11_14-37-27
direct_entity,0.6307,0.5494,0.8081,0.6541,0.4956,0.8081,0.3037,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_ontological,0.5503,0.489,0.907,0.6354,0.2788,0.907,0.1857,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy,0.6256,0.5441,0.8256,0.6559,0.4735,0.8256,0.299,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_ontological,0.5704,0.5018,0.8081,0.6192,0.3894,0.8081,0.1975,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_with_synonyms,0.7236,0.6123,0.9826,0.7545,0.5265,0.9826,0.5091,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_with_synonyms,0.7111,0.6,0.9942,0.7484,0.4956,0.9942,0.4898,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
all_data_dummy,0.6533,0.563,0.8837,0.6878,0.4779,0.8837,0.3616,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_names,0.5879,0.5119,1.0,0.6772,0.2743,1.0,0.2743,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_with_children,0.598,0.5181,1.0,0.6825,0.292,1.0,0.292,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
only_with_parents,0.5729,0.5029,1.0,0.6693,0.2478,1.0,0.2478,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
with_hierarchy,0.598,0.5181,1.0,0.6825,0.292,1.0,0.292,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-11_14-30-58
direct_entity,0.6281,0.5408,0.9244,0.6824,0.4027,0.9244,0.3271,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_ontological,0.6558,0.5697,0.8314,0.6761,0.5221,0.8314,0.3535,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy,0.6332,0.5442,0.9302,0.6867,0.4071,0.9302,0.3373,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_ontological,0.5729,0.5038,0.7791,0.6119,0.4159,0.7791,0.195,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_with_synonyms,0.706,0.5965,0.9884,0.744,0.4912,0.9884,0.4795,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_with_synonyms,0.6985,0.5897,0.9942,0.7403,0.4735,0.9942,0.4676,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
all_data_dummy,0.8417,0.7946,0.8547,0.8235,0.8319,0.8547,0.6865,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_names,0.8894,0.8168,0.9593,0.8824,0.8363,0.9593,0.7956,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_with_children,0.907,0.8426,0.9651,0.8997,0.8628,0.9651,0.8279,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
only_with_parents,0.907,0.8426,0.9651,0.8997,0.8628,0.9651,0.8279,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
with_hierarchy,0.9045,0.8418,0.9593,0.8967,0.8628,0.9593,0.8221,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-11_10-25-44
direct_entity,0.8769,0.8361,0.8895,0.862,0.8673,0.8895,0.7568,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_ontological,0.8618,0.8421,0.8372,0.8397,0.8805,0.8372,0.7177,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy,0.8769,0.8361,0.8895,0.862,0.8673,0.8895,0.7568,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_ontological,0.8241,0.7772,0.8314,0.8034,0.8186,0.8314,0.65,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.9045,0.8526,0.9419,0.895,0.8761,0.9419,0.818,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_with_synonyms,0.902,0.8519,0.936,0.892,0.8761,0.936,0.8122,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.6784,0.594,0.8081,0.6847,0.5796,0.8081,0.3878,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
sequential_hierarchy_with_synonyms,0.6809,0.6619,0.5349,0.5916,0.792,0.5349,0.3269,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
direct_entity,0.6307,0.5776,0.5407,0.5586,0.6991,0.5407,0.2398,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity_ontological,0.6156,0.5798,0.4012,0.4742,0.7788,0.4012,0.1799,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy,0.6457,0.6281,0.4419,0.5188,0.8009,0.4419,0.2427,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy_ontological,0.5955,0.5618,0.2907,0.3831,0.8274,0.2907,0.1181,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
all_data_dummy,0.4597,0.401,0.9256,0.5595,0.1851,0.9256,0.1107,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_names,0.4566,0.4014,0.9477,0.5639,0.1672,0.9477,0.1149,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_with_children,0.4699,0.4071,0.9421,0.5686,0.1916,0.9421,0.1337,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
only_with_parents,0.4505,0.3998,0.9614,0.5647,0.1494,0.9614,0.1108,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
with_hierarchy,0.4627,0.4045,0.9504,0.5674,0.1753,0.9504,0.1257,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-11_14-16-04
direct_entity,0.4311,0.3915,0.9642,0.5569,0.1169,0.9642,0.0811,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_ontological,0.427,0.3898,0.9642,0.5551,0.1104,0.9642,0.0746,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy,0.428,0.3904,0.9669,0.5563,0.1104,0.9669,0.0773,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_ontological,0.4055,0.3821,0.978,0.5495,0.0682,0.978,0.0461,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_with_synonyms,0.4525,0.4002,0.9559,0.5642,0.1558,0.9559,0.1118,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_with_synonyms,0.4402,0.3955,0.9642,0.5609,0.1315,0.9642,0.0957,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
all_data_dummy,0.5026,0.4199,0.8953,0.5717,0.2711,0.8953,0.1664,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_names,0.4913,0.417,0.9339,0.5765,0.2305,0.9339,0.1644,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_with_children,0.4954,0.419,0.9339,0.5785,0.237,0.9339,0.1709,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
only_with_parents,0.4821,0.4137,0.9504,0.5764,0.2062,0.9504,0.1566,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
with_hierarchy,0.5117,0.4277,0.9366,0.5872,0.2614,0.9366,0.198,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-11_14-14-55
direct_entity,0.4801,0.4094,0.9091,0.5646,0.2273,0.9091,0.1364,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
