Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
sequential_hierarchy_with_synonyms,0.6635,0.6336,0.9705,0.7667,0.257,0.9705,0.2274,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity,0.8253,0.8239,0.8819,0.8519,0.7505,0.8819,0.6323,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_ontological,0.8165,0.8404,0.8368,0.8386,0.7896,0.8368,0.6264,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy,0.8349,0.8362,0.8833,0.8591,0.7709,0.8833,0.6542,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_ontological,0.7997,0.8179,0.834,0.8259,0.7542,0.834,0.5882,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.8013,0.7897,0.8875,0.8358,0.6872,0.8875,0.5746,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
sequential_hierarchy_with_synonyms,0.8013,0.7847,0.8973,0.8373,0.6741,0.8973,0.5714,bioml-2024,ncit-doid,gemini-2.5-flash-preview-04-17,2025-05-10_20-12-48
direct_entity_with_synonyms,0.6587,0.6596,0.8284,0.7344,0.4339,0.8284,0.2623,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
sequential_hierarchy_with_synonyms,0.4984,0.5869,0.4037,0.4783,0.6238,0.4037,0.0275,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-19_22-17-52
direct_entity,0.6546,0.7482,0.5935,0.662,0.7356,0.5935,0.3291,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity_ontological,0.5537,0.7305,0.3432,0.467,0.8324,0.3432,0.1756,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy,0.6498,0.7655,0.5556,0.6438,0.7747,0.5556,0.3302,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
sequential_hierarchy_ontological,0.4968,0.7345,0.1828,0.2928,0.9125,0.1828,0.0953,bioml-2024,ncit-doid,gpt-4o-mini,2025-03-14_00-40-55
direct_entity,0.8005,0.8278,0.9406,0.8806,0.2978,0.9406,0.2384,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_ontological,0.8074,0.8374,0.9354,0.8837,0.348,0.9354,0.2833,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy,0.8046,0.8271,0.9485,0.8836,0.2884,0.9485,0.2369,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_ontological,0.7862,0.8176,0.9354,0.8725,0.2508,0.9354,0.1862,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity_with_synonyms,0.8436,0.8333,1.0,0.9091,0.2821,1.0,0.2821,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
sequential_hierarchy_with_synonyms,0.8415,0.8315,1.0,0.908,0.2727,1.0,0.2727,bioml-2024,omim-ordo,gemini-1.5-flash,2025-05-11_00-15-12
direct_entity,0.7684,0.8486,0.8568,0.8527,0.4514,0.8568,0.3082,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_ontological,0.7746,0.8186,0.9144,0.8639,0.2727,0.9144,0.1871,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy,0.7753,0.8458,0.8716,0.8585,0.4295,0.8716,0.3011,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_ontological,0.7193,0.8254,0.8131,0.8192,0.3824,0.8131,0.1955,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity_with_synonyms,0.8695,0.8636,0.9895,0.9223,0.4389,0.9895,0.4284,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
sequential_hierarchy_with_synonyms,0.8668,0.8588,0.993,0.921,0.4138,0.993,0.4068,bioml-2024,omim-ordo,gemini-2.0-flash,2025-05-10_20-31-31
direct_entity,0.806,0.8409,0.9275,0.8821,0.3699,0.9275,0.2974,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_ontological,0.778,0.8565,0.8603,0.8584,0.4828,0.8603,0.343,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy,0.8053,0.8391,0.9293,0.8819,0.3605,0.9293,0.2898,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_ontological,0.7234,0.8321,0.8096,0.8207,0.4138,0.8096,0.2234,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity_with_synonyms,0.8675,0.8589,0.9939,0.9215,0.4138,0.9939,0.4077,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
sequential_hierarchy_with_synonyms,0.862,0.8542,0.993,0.9184,0.3918,0.993,0.3849,bioml-2024,omim-ordo,gemini-2.0-flash-lite,2025-05-10_19-58-03
direct_entity,0.8702,0.929,0.9031,0.9159,0.7524,0.9031,0.6554,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_ontological,0.8538,0.9306,0.8786,0.9039,0.7649,0.8786,0.6435,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy,0.8682,0.9258,0.9039,0.9147,0.7398,0.9039,0.6437,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_ontological,0.8245,0.9134,0.8568,0.8842,0.7085,0.8568,0.5652,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.9187,0.9311,0.9677,0.949,0.7429,0.9677,0.7106,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
sequential_hierarchy_with_synonyms,0.9153,0.9294,0.9651,0.9469,0.7367,0.9651,0.7017,bioml-2024,omim-ordo,gemini-2.5-flash-preview-04-17,2025-05-10_20-24-42
direct_entity_with_synonyms,0.7964,0.8679,0.8725,0.8702,0.5235,0.8725,0.396,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
sequential_hierarchy_with_synonyms,0.5724,0.8712,0.5319,0.6605,0.7179,0.5319,0.2497,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-19_23-32-20
direct_entity,0.6428,0.8793,0.6297,0.7338,0.6897,0.6297,0.3193,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity_ontological,0.5157,0.8811,0.4402,0.5871,0.7868,0.4402,0.227,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy,0.5362,0.8832,0.469,0.6127,0.7774,0.469,0.2464,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
sequential_hierarchy_ontological,0.3538,0.8241,0.221,0.3485,0.8307,0.221,0.0517,bioml-2024,omim-ordo,gpt-4o-mini,2025-03-12_14-43-32
direct_entity,0.4315,0.4009,0.9762,0.5684,0.0928,0.9762,0.0689,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_ontological,0.4291,0.3996,0.9724,0.5664,0.0912,0.9724,0.0636,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy,0.4306,0.4007,0.9787,0.5686,0.0896,0.9787,0.0683,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_ontological,0.4118,0.3932,0.9825,0.5616,0.0569,0.9825,0.0394,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity_with_synonyms,0.4464,0.407,0.9712,0.5736,0.12,0.9712,0.0912,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
sequential_hierarchy_with_synonyms,0.4383,0.4036,0.9737,0.5707,0.1052,0.9737,0.0789,bioml-2024,snomed-fma.body,gemini-1.5-flash,2025-05-10_23-57-23
direct_entity,0.4753,0.417,0.9261,0.5751,0.1949,0.9261,0.1209,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity_ontological,0.4397,0.4029,0.9561,0.5669,0.1185,0.9561,0.0746,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy,0.4863,0.4229,0.9311,0.5816,0.2097,0.9311,0.1407,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy_ontological,0.5329,0.4418,0.8283,0.5763,0.3492,0.8283,0.1775,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity_with_synonyms,0.5103,0.4357,0.9386,0.5952,0.244,0.9386,0.1826,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
sequential_hierarchy_with_synonyms,0.4921,0.4268,0.9461,0.5882,0.2097,0.9461,0.1558,bioml-2024,snomed-fma.body,gemini-2.0-flash,2025-05-10_20-04-10
direct_entity,0.4344,0.4017,0.9699,0.5681,0.1013,0.9699,0.0712,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity_ontological,0.4801,0.4157,0.8772,0.5641,0.233,0.8772,0.1102,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy,0.433,0.4014,0.9749,0.5687,0.0959,0.9749,0.0708,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy_ontological,0.4661,0.4098,0.891,0.5614,0.2019,0.891,0.0928,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity_with_synonyms,0.458,0.4115,0.9612,0.5763,0.145,0.9612,0.1061,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
sequential_hierarchy_with_synonyms,0.4546,0.4107,0.9712,0.5773,0.1333,0.9712,0.1045,bioml-2024,snomed-fma.body,gemini-2.0-flash-lite,2025-05-10_19-37-02
direct_entity,0.642,0.5199,0.8672,0.6501,0.5019,0.8672,0.3691,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity_ontological,0.6305,0.5116,0.7995,0.624,0.5253,0.7995,0.3248,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy,0.6434,0.5215,0.8509,0.6467,0.5144,0.8509,0.3653,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy_ontological,0.6333,0.5144,0.7845,0.6213,0.5394,0.7845,0.3238,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity_with_synonyms,0.6545,0.5295,0.8897,0.6639,0.5082,0.8897,0.3979,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
sequential_hierarchy_with_synonyms,0.6564,0.5308,0.8972,0.667,0.5066,0.8972,0.4039,bioml-2024,snomed-fma.body,gemini-2.5-flash-preview-04-17,2025-05-10_19-32-25
direct_entity,0.517,0.5024,0.96,0.6596,0.0955,0.96,0.0556,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
direct_entity_ontological,0.5147,0.5012,0.96,0.6586,0.0912,0.96,0.0513,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy,0.5175,0.5027,0.9623,0.6604,0.0945,0.9623,0.0568,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy_ontological,0.5114,0.4994,0.9726,0.66,0.0727,0.9726,0.0453,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
direct_entity_with_synonyms,0.5287,0.5086,0.984,0.6706,0.0955,0.984,0.0796,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
sequential_hierarchy_with_synonyms,0.527,0.5077,0.9806,0.669,0.0955,0.9806,0.0761,bioml-2024,snomed-ncit.neoplas,gemini-1.5-flash,2025-05-11_00-02-13
direct_entity,0.5387,0.5148,0.9361,0.6642,0.1607,0.9361,0.0968,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
direct_entity_ontological,0.5142,0.5009,0.9452,0.6548,0.1042,0.9452,0.0494,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
sequential_hierarchy,0.5437,0.5177,0.9361,0.6667,0.1705,0.9361,0.1065,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
sequential_hierarchy_ontological,0.5381,0.5147,0.9212,0.6604,0.1737,0.9212,0.095,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
direct_entity_with_synonyms,0.5543,0.5232,0.9669,0.679,0.1618,0.9669,0.1287,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
sequential_hierarchy_with_synonyms,0.5509,0.5217,0.9486,0.6731,0.1726,0.9486,0.1213,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash,2025-05-10_20-12-05
direct_entity,0.5264,0.5076,0.9566,0.6632,0.1173,0.9566,0.0739,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
direct_entity_ontological,0.562,0.5294,0.9144,0.6706,0.2269,0.9144,0.1413,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
sequential_hierarchy,0.5253,0.5069,0.9612,0.6638,0.1107,0.9612,0.0719,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
sequential_hierarchy_ontological,0.532,0.512,0.855,0.6404,0.2248,0.855,0.0798,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
direct_entity_with_synonyms,0.5381,0.5139,0.9726,0.6725,0.1249,0.9726,0.0975,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
sequential_hierarchy_with_synonyms,0.5403,0.5151,0.976,0.6743,0.126,0.976,0.102,bioml-2024,snomed-ncit.neoplas,gemini-2.0-flash-lite,2025-05-10_19-42-52
direct_entity,0.6578,0.6114,0.8174,0.6996,0.506,0.8174,0.3233,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
direct_entity_ontological,0.6494,0.6094,0.782,0.685,0.5233,0.782,0.3053,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
sequential_hierarchy,0.6505,0.6086,0.7934,0.6888,0.5147,0.7934,0.308,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
sequential_hierarchy_ontological,0.6572,0.6125,0.8082,0.6969,0.5136,0.8082,0.3218,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
direct_entity_with_synonyms,0.6656,0.6143,0.8436,0.7109,0.4962,0.8436,0.3398,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
sequential_hierarchy_with_synonyms,0.6633,0.6101,0.8573,0.7129,0.4788,0.8573,0.3361,bioml-2024,snomed-ncit.neoplas,gemini-2.5-flash-preview-04-17,2025-05-10_19-47-03
direct_entity,0.7631,0.7677,0.9841,0.8626,0.0806,0.9841,0.0646,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
direct_entity_ontological,0.7535,0.7668,0.9682,0.8558,0.0904,0.9682,0.0586,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
sequential_hierarchy,0.7641,0.7669,0.9879,0.8635,0.0727,0.9879,0.0606,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
sequential_hierarchy_ontological,0.7597,0.7653,0.9835,0.8608,0.0688,0.9835,0.0522,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
direct_entity_with_synonyms,0.7645,0.7702,0.9809,0.8629,0.0963,0.9809,0.0772,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
sequential_hierarchy_with_synonyms,0.7689,0.7696,0.9905,0.8662,0.0845,0.9905,0.0749,bioml-2024,snomed-ncit.pharm,gemini-1.5-flash,2025-05-11_00-06-56
direct_entity,0.7987,0.7973,0.9835,0.8807,0.2279,0.9835,0.2114,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
direct_entity_ontological,0.7737,0.7757,0.9854,0.868,0.1198,0.9854,0.1052,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
sequential_hierarchy,0.7948,0.7946,0.9822,0.8785,0.2161,0.9822,0.1983,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
sequential_hierarchy_ontological,0.7857,0.7966,0.9618,0.8715,0.2417,0.9618,0.2035,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
direct_entity_with_synonyms,0.7963,0.7956,0.9828,0.8793,0.22,0.9828,0.2029,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
sequential_hierarchy_with_synonyms,0.7852,0.7834,0.9892,0.8743,0.1552,0.9892,0.1444,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash,2025-05-10_20-18-58
direct_entity,0.7684,0.7755,0.9758,0.8642,0.1277,0.9758,0.1035,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
direct_entity_ontological,0.6824,0.8023,0.7691,0.7853,0.4145,0.7691,0.1836,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
sequential_hierarchy,0.7746,0.7756,0.9873,0.8687,0.1179,0.9873,0.1052,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
sequential_hierarchy_ontological,0.7713,0.7962,0.937,0.8609,0.2593,0.937,0.1964,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
direct_entity_with_synonyms,0.7765,0.7843,0.9714,0.8679,0.1749,0.9714,0.1462,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
sequential_hierarchy_with_synonyms,0.7814,0.7822,0.9847,0.8719,0.1532,0.9847,0.138,bioml-2024,snomed-ncit.pharm,gemini-2.0-flash-lite,2025-05-10_19-47-56
direct_entity,0.8323,0.8426,0.9567,0.896,0.4479,0.9567,0.4047,bioml-2024,snomed-ncit.pharm,gemini-2.5-flash-preview-04-17,2025-05-10_19-59-37
direct_entity_ontological,0.8006,0.8495,0.8944,0.8714,0.5108,0.8944,0.4052,bioml-2024,snomed-ncit.pharm,gemini-2.5-flash-preview-04-17,2025-05-10_19-59-37
sequential_hierarchy,0.839,0.8504,0.9548,0.8996,0.4813,0.9548,0.4362,bioml-2024,snomed-ncit.pharm,gemini-2.5-flash-preview-04-17,2025-05-10_19-59-37
